alle;et;to;tre;fire;fem;seks
1100111150460000000003;1100111150460000000003;210011179072-000008898;360501381078-000005325;4201211410450000009116;;6588280003000000022214
1100111150470000000591;1100111150470000000591;210011179076-000002128;360501384086-000001285;4201211410490000030792;;658828000309-000017035
1100111150480000020972;1100111150480000020972;210011179077-000000765;3605014010400000000026;420121141071-000000465;;6588280003600000003385
1100111150490000062279;1100111150490000062279;210011179078-000000585;360511001007-000000247;420121141072-000000231;;6588280004000000003505
110011115072-000160296;110011115072-000160296;210011179079-000020049;3605110010100000032078;420121141079-000003847;;658828000409-000002277
110011115076-000010774;110011115076-000010774;2100111790910000000019;3605110010400000000440;4201211410940000004713;;6588280004600000000585
110011115078-000038449;110011115078-000038449;210011179094-000002775;360511001079-000001067;420121141097-000007696;;658828000500-000003199
110011115079-000017756;110011115079-000017756;210011179097-000002890;3605110010910000001356;4201211420230000009832;;658828000509-000000707
1100111150940000057906;1100111150940000057906;2100111820220000004291;360511001677-000000028;4201211420400000000005;;6588280005600000003906
110011115097-000061124;110011115097-000061124;2100111820400000002518;3605110020290000000013;4201211420450000000014;;6588280006000000011787
1100111210060000071412;1100111210060000071412;210011182072-000007677;3605110020400000000121;4201211420490000001098;;658828000609-000005331
1100111210400000114339;1100111210400000114339;210011183077-002212891;3605110020490000000103;420121142060-000000001;;6588280006600000002036
1100111220290000000001;1100111220290000000001;210011184076-000057783;3605110110220000000136;420121142072-000000055;;6588281001000002708427
1100111220400000113275;1100111220400000113275;210011184086-000002380;3605110110290000000252;420121142079-000000284;;658828100109-001532870
1100111220520000320368;1100111220520000320368;2100112010030000000074;3605110110400000000680;420121142094-000000018;;6588281002000000000754
1100111230400000028795;1100111230400000028795;2100112010070000001793;3605110110490000000460;4201211710400000077381;;658828100209-000000263
1100111230520000067429;1100111230520000067429;2100112010100000407727;360511011072-000000067;4201211710490000000505;;6588281003000000010875
110011131000-000054095;110011131000-000054095;2100112010220000000107;360511011079-000000049;420121171079-000000957;;658828100309-000009013
1100111310010001303323;1100111310010001303323;2100112010290000000723;3605110110920000000017;420121172081-000001414;;6588281004000000000225
1100111310020000000009;1100111310020000000009;2100112010400000005886;3605110110940000000079;4201211790010000000035;;658828100409-000000311
110011131006-000001424;110011131006-000001424;2100112010450000000005;3605110310290000000276;4201211790020000000023;;6588281005000000001143
1100111310080000348284;1100111310080000348284;2100112010480000000200;3605110320290000000035;4201211790290000000147;;658828100509-000000746
1100111310230000000001;1100111310230000000001;2100112010490000001189;3605110320400000000053;4201211790400000002674;;6588281006000000042915
1100111310270000055538;1100111310270000055538;210011201072-000000043;3605110320490000000151;4201211790490000000992;;658828100609-000014046
1100111310290001072032;1100111310290001072032;210011201077-000005094;3605111010030000000062;4201211790520000000001;;6588282002000000005235
1100111310400000315295;1100111310400000315295;210011201079-000000140;360511101005-000003725;420121179072-000019556;;658828200209-000007362
1100111310450000009785;1100111310450000009785;210011201091-000000019;360511101007-000000941;420121179076-000001392;;6588282004000000010980
1100111310490000228757;1100111310490000228757;2100112010940000004902;3605111010100000233306;420121179077-000001235;;658828200409-000002762
1100111310520000000005;1100111310520000000005;210011201097-000000049;3605111010220000000372;420121179078-000003159;;6588380001000000644143
1100111310590000000001;1100111310590000000001;2100112016070000000003;3605111010290000000107;420121179079-000016273;;658838000109-000411596
110011131072-000009351;110011131072-000009351;2100112016100000000022;3605111010400000004266;4201211790910000000018;;6588380001600000060566
1100111310770000000002;1100111310770000000002;2100112020220000000063;3605111010490000000652;4201211790940000000997;;6588380002000000000894
110011131079-000002950;110011131079-000002950;2100112020290000000042;3605111010520000000001;420121179097-000045964;;658838000209-000001568
1100111310920000109974;1100111310920000109974;2100112020400000002591;3605111010910000000657;4201211830470000001267;;6588380002600000000694
1100111310940000000306;1100111310940000000306;2100112020490000001241;3605111010940000000548;4201211840460000000015;;6588380003000000011610
110011131097-000000377;110011131097-000000377;210011202072-000000050;360511101097-000004928;420121184076-000002261;;658838000309-000007763
1100111320010000597918;1100111320010000597918;2100112020940000000129;3605111015100000008334;4201214010400000001052;;6588380003600000001740
110011132002-000000234;110011132002-000000234;2100112020970000000001;3605111015400000003541;4201214020400000000001;;6588380004000000000606
110011132006-000091396;110011132006-000091396;2100112030400000000088;3605111020220000000009;4201214110400000000009;;658838000409-000000601
110011132008-000161162;110011132008-000161162;2100112030940000000031;3605111020290000000017;4201214820400000000002;;6588380004600000000154
1100111320220000000010;1100111320220000000010;2100112110220000006986;3605111020400000000862;420123102079-000000020;;658838000509-000000024
1100111320230000022724;1100111320230000022724;2100112110230000000003;3605111020490000002768;4201231030230000000063;;6588380005600000000024
1100111320270000000017;1100111320270000000017;2100112110250000000005;3605111020940000000159;4201231030400000000178;;6588380006000000069984
1100111320290000312746;1100111320290000312746;2100112110290000009005;3605111030400000000055;4201231030490000000190;;658838000609-000064433
1100111320400000041236;1100111320400000041236;2100112110400000008131;3605111110220000000084;420123103079-000017588;;6588380006600000000775
1100111320450000447444;1100111320450000447444;2100112110450000000010;3605111110290000000687;420123104000-000002476;;6588381001000001246329
1100111320460000000004;1100111320460000000004;2100112110480000000109;3605111110400000001224;4201231040230000000229;;658838100109-001070839
1100111320470000000024;1100111320470000000024;2100112110490000005355;3605111110450000000002;4201231040290000000114;;6588381002000000000260
1100111320480000000379;1100111320480000000379;2100112110520000000740;3605111110490000009796;4201231040400000000588;;658838100209-000000226
1100111320490001137238;1100111320490001137238;210011211072-000005427;360511111072-000000497;4201231040450000007291;;6588381003000000008594
1100111320520000000131;1100111320520000000131;210011211079-000003745;360511111079-000000002;4201231040490000001442;;658838100309-000010320
